Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
30/11/2019;10;4;9;20;13;33;31
01/12/2019;8;6;1;6;11;8;57
02/12/2019;9;6;1;7;17;9;59
03/12/2019;12;4;2;13;17;15;44
04/12/2019;6;3;2;14;9;17;46
05/12/2019;10;3;2;15;14;17;40
06/12/2019;16;3;7;17;21;27;33
07/12/2019;17;3;8;19;22;31;22
08/12/2019;13;3;4;16;16;23;21
09/12/2019;7;3;5;16;12;23;31
10/12/2019;10;3;15;27;19;49;27
11/12/2019;10;4;7;22;16;32;27
12/12/2019;7;4;2;12;12;14;43
13/12/2019;3;3;1;9;8;11;54
14/12/2019;4;3;1;5;5;7;58
15/12/2019;7;3;5;16;9;23;46
16/12/2019;18;3;14;25;24;47;25
17/12/2019;29;6;24;37;42;73;18
18/12/2019;8;6;4;24;14;30;27
19/12/2019;18;6;23;39;27;74;18
20/12/2019;6;5;3;15;11;20;42
21/12/2019;3;4;1;2;11;4;57
22/12/2019;7;4;1;2;10;3;68
23/12/2019;6;4;2;18;8;21;48
24/12/2019;9;3;5;24;12;32;28
25/12/2019;14;3;14;21;16;43;22
26/12/2019;20;3;46;36;29;106;13
27/12/2019;21;4;13;28;26;48;16
28/12/2019;29;4;14;24;33;45;22
29/12/2019;34;3;3;17;37;22;33
30/12/2019;33;3;12;30;38;49;24
31/12/2019;34;4;15;30;38;52;14
